식품명,식품대분류명,영양성분함량기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),식품기원명
샌드위치_참치,빵 및 과자류,100g,202,13.78,10.54,11.65,209,가정식(분석 함량)
샌드위치_채소,빵 및 과자류,100g,244,23.82,4.08,14.75,426,가정식(분석 함량)
샌드위치_햄_달걀,빵 및 과자류,100g,220,15.64,12.44,11.92,699,가정식(분석 함량)
소보로빵,빵 및 과자류,100g,392,55.63,8.27,15.13,396,가정식(분석 함량)
식빵,빵 및 과자류,100g,264,50.91,9.34,2.60,468,가정식(분석 함량)
초코소라빵,빵 및 과자류,100g,319,51.76,3.29,10.93,215,가정식(분석 함량)
츄러스,빵 및 과자류,100g,361,58.17,6.60,11.29,363,가정식(분석 함량)
카스텔라,빵 및 과자류,100g,335,47.99,10.03,11.47,63,가정식(분석 함량)
케이크_롤케이크,빵 및 과자류,100g,312,44.01,7.36,11.83,143,가정식(분석 함량)
케이크_생크림케이크,빵 및 과자류,100g,237,27.62,3.45,12.54,151,가정식(분석 함량)
크로와상,빵 및 과자류,100g,446,43.31,7.52,26.98,457,가정식(분석 함량)
파이/만주_사과파이,빵 및 과자류,100g,185,34.83,2.54,3.91,204,가정식(분석 함량)
페이스트리,빵 및 과자류,100g,466,41.50,8.31,29.66,373,가정식(분석 함량)
피자_콤비네이션피자,빵 및 과자류,100g,274,25.54,10.68,14.36,441,가정식(분석 함량)
피자빵,빵 및 과자류,100g,298,31.76,8.85,15.05,637,가정식(분석 함량)
햄버거,빵 및 과자류,100g,264,21.67,12.85,13.98,450,가정식(분석 함량)
햄버거_불고기버거,빵 및 과자류,100g,250,22.68,13.88,11.52,338,가정식(분석 함량)
호떡_견과류,빵 및 과자류,100g,314,57.12,5.41,7.07,211,가정식(분석 함량)
간자장,면 및 만두류,100g,125,15.13,5.12,4.89,455,가정식(분석 함량)
국수_막국수,면 및 만두류,100g,133,23.90,5.80,1.61,405,가정식(분석 함량)
