식품명,식품대분류명,영양성분함량기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),식품기원명
크림빵_초코가나슈크림빵,빵 및 과자류,100g,299,,7.79,,260,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_초코크로칸슈,빵 및 과자류,100g,277,,3.64,,148,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_초코크림아몬드볼,빵 및 과자류,100g,400,,8.75,,213,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_초콜릿크로캉롱슈,빵 및 과자류,100g,286,,4.40,,66,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_촉촉브래드,빵 및 과자류,100g,296,,7.27,,227,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_치즈크림팡도르,빵 및 과자류,100g,326,,6.32,,258,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_카스타드롤,빵 및 과자류,100g,292,,7.69,,379,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_카페모카크림빵 (대),빵 및 과자류,100g,403,,6.56,,259,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_카페모카크림빵 (소),빵 및 과자류,100g,393,,6.67,,267,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_크리미 크로칸 슈,빵 및 과자류,100g,272,,3.64,6.36,151,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_크리미크로칸슈,빵 및 과자류,100g,272,,3.64,,151,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_크림듬뿍초코크림아몬드볼,빵 및 과자류,100g,400,,7.78,,178,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_티라미수 크림 데니쉬,빵 및 과자류,100g,345,,4.55,,218,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_후레쉬연유크림,빵 및 과자류,100g,454,,9.52,,493,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_후레쉬연유크림빵,빵 및 과자류,100g,417,,8.00,,412,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_후레쉬크림빵,빵 및 과자류,100g,411,,7.59,,291,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_후레쉬크림샌드빵 (소),빵 및 과자류,100g,408,,7.20,,368,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_단팥생크림빵,빵 및 과자류,100g,297,38.21,4.88,13.82,163,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_단호박 미니 붕어빵,빵 및 과자류,100g,275,,4.80,,265,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_메론크림빵,빵 및 과자류,100g,322,47.12,5.77,12.50,240,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_바닐라 우유 크림슈,빵 및 과자류,100g,326,13.04,4.35,26.09,87,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_보슬보슬옥수수크림빵,빵 및 과자류,100g,344,41.11,6.67,16.67,289,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_생크림메론크림빵,빵 및 과자류,100g,328,43.10,5.17,14.66,216,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_슈크림 콩빵,빵 및 과자류,100g,357,,5.13,,239,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_연유크림브레드,빵 및 과자류,100g,271,,4.00,,329,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_옥수수콘크림샌드,빵 및 과자류,100g,313,38.26,6.09,14.78,278,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_왕구름크림빵,빵 및 과자류,100g,359,45.31,6.12,17.14,286,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_우유버터브레드,빵 및 과자류,100g,383,,7.59,,241,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_우유생크림빵,빵 및 과자류,100g,327,,4.81,,183,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_인생 딸기생크림빵,빵 및 과자류,100g,329,40.00,5.71,17.14,238,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_자색고구마 미니 붕어빵,빵 및 과자류,100g,294,,4.80,,172,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_초코 미니 붕어빵,빵 및 과자류,100g,328,,4.80,,230,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_초코 슈스틱,빵 및 과자류,100g,333,,6.67,,150,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_추억의 고구마생크림빵,빵 및 과자류,100g,368,42.73,6.36,17.27,291,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_커스타드 크로칸 슈,빵 및 과자류,100g,427,,10.00,,120,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_쿠키슈 생크림,빵 및 과자류,100g,343,40.00,4.29,18.57,171,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_쿠키슈 커스터드초코크림,빵 및 과자류,100g,427,48.57,8.57,20.00,364,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_쿠키슈 커스터드크림,빵 및 과자류,100g,377,44.29,4.29,15.71,173,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_쿠키슈 황치즈크림,빵 및 과자류,100g,386,58.57,8.57,15.71,610,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_크림 치즈 크로칸 슈,빵 및 과자류,100g,449,,8.00,,170,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_크림소금빵,빵 및 과자류,100g,450,,12.50,,715,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_흑당크림브레드,빵 및 과자류,100g,268,,3.68,,285,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_그릭요거트슈,빵 및 과자류,100g,308,,3.85,,77,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_까까웨뜨,빵 및 과자류,100g,407,,7.41,,333,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_리얼초코소라빵,빵 및 과자류,100g,301,,5.88,,338,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_매직모카크림빵,빵 및 과자류,100g,423,,6.73,,254,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_모카크림샌드빵,빵 및 과자류,100g,398,,6.05,,353,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_반반 후.크.샌 연유와 옥수수,빵 및 과자류,100g,361,,7.35,,331,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_베이비 슈,빵 및 과자류,100g,324,39.39,3.03,18.18,142,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_베이비슈,빵 및 과자류,100g,317,,3.33,,50,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_부드러운후레쉬크림샌드빵,빵 및 과자류,100g,386,,6.20,,375,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_사르르우유슈,빵 및 과자류,100g,283,,3.33,,33,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_사르르초코슈,빵 및 과자류,100g,300,,3.33,,33,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_슈크림빵,빵 및 과자류,100g,312,,8.24,,259,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_슈크림빵,빵 및 과자류,100g,298,,7.14,,214,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_슈크림슈,빵 및 과자류,100g,320,,8.00,,300,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_슈크림슈,빵 및 과자류,100g,304,,4.35,,87,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_인생크림빵 말차단팥,빵 및 과자류,100g,310,,5.56,,185,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_인생크림빵 메론,빵 및 과자류,100g,295,,4.55,,173,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_인생크림빵 애플망고,빵 및 과자류,100g,248,,4.76,,162,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_인생크림빵 초코바나나,빵 및 과자류,100g,307,,4.72,,179,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_진한우유크림빵,빵 및 과자류,100g,271,,7.14,,229,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_초코슈,빵 및 과자류,100g,300,,8.00,,300,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_카스테라우유크림볼,빵 및 과자류,100g,329,,5.63,,244,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_카페모카크림빵(대),빵 및 과자류,100g,416,,7.05,,264,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_카페모카크림빵(소),빵 및 과자류,100g,406,,7.74,,271,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_크림코르네,빵 및 과자류,100g,272,,3.51,,202,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_후레쉬크림빵,빵 및 과자류,100g,404,,6.41,,346,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_후레쉬크림샌드빵,빵 및 과자류,100g,408,,7.60,,368,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_후레쉬크림샌드빵(소),빵 및 과자류,100g,408,,7.20,,368,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_단팥우유크림빵,빵 및 과자류,100g,320,44.00,6.67,,153,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_단팥크림빵,빵 및 과자류,100g,289,,7.27,,177,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_미니붕어빵 커스타드,빵 및 과자류,100g,311,,6.40,,181,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_슈슈 붕어빵,빵 및 과자류,100g,237,,2.86,,226,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_슈크림 붕어빵,빵 및 과자류,100g,280,,3.08,,215,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_스노우 쿠키슈,빵 및 과자류,100g,331,,4.62,,277,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_아이스 딸기라떼 와앙슈,빵 및 과자류,100g,287,37.33,4.00,13.33,140,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_아이스 허니 와앙 슈,빵 및 과자류,100g,267,34.67,5.33,12.00,147,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_아이스슈,빵 및 과자류,100g,283,,3.33,,139,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_와앙 바닐라 슈크림빵,빵 및 과자류,100g,332,41.74,6.09,15.65,173,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_요구르트 슈스틱,빵 및 과자류,100g,325,38.33,5.00,,167,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_우유크림크로칸슈,빵 및 과자류,100g,415,34.00,10.00,28.00,120,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_초코 슈스틱,빵 및 과자류,100g,333,36.67,6.67,,150,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_치즈크림빵,빵 및 과자류,100g,349,,7.78,,399,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_커스터드크로칸슈,빵 및 과자류,100g,356,28.33,8.33,23.33,100,외식(프랜차이즈 등 업체 제공 영양정보)
크림빵_팥크림빵빵,빵 및 과자류,100g,294,,6.36,,173,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_까망베르치즈 타르트,빵 및 과자류,100g,314,,6.47,,210,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_리얼 다크 타르트,빵 및 과자류,100g,429,,6.67,,83,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_무화과타르트,빵 및 과자류,100g,476,,8.98,,101,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_미니 타르트 4종 세트,빵 및 과자류,100g,446,,8.53,,110,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_밀당 에그 타르트,빵 및 과자류,100g,400,,4.21,,316,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_소프트 에그타르트,빵 및 과자류,100g,330,,6.00,,220,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_씨앗타르트,빵 및 과자류,100g,417,,11.71,,211,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_아몬드타르트,빵 및 과자류,100g,426,,11.71,,209,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_에그 타르트,빵 및 과자류,100g,270,,4.00,,220,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_에그타르트,빵 및 과자류,100g,297,38.10,5.90,13.40,83,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_에그타르트,빵 및 과자류,100g,264,,6.00,,108,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_에그타르트,빵 및 과자류,100g,280,28.00,4.00,16.00,220,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_크림치즈 타르트,빵 및 과자류,100g,433,,7.50,,173,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_호두듬뿍타르트,빵 및 과자류,100g,430,42.00,8.00,26.00,540,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_호두타르트,빵 및 과자류,100g,426,,11.43,,211,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_패스트리에빠진에그푸딩,빵 및 과자류,100g,457,,9.57,,936,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_오렌지타르트,빵 및 과자류,100g,248,26.27,3.82,14.23,58,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_뉴욕치즈타르트,빵 및 과자류,100g,390,,8.00,,260,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_무화과 레어치즈 타르트,빵 및 과자류,100g,250,,3.00,,120,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_쉬림프 피자 타르트,빵 및 과자류,100g,280,,6.00,,520,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_스모어마시멜로우타르트,빵 및 과자류,100g,420,,6.00,,140,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_에그타르트,빵 및 과자류,100g,239,,2.17,,152,외식(프랜차이즈 등 업체 제공 영양정보)
타르트_정통에그타르트,빵 및 과자류,100g,280,,4.00,,220,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_갈릭스틱토스트,빵 및 과자류,100g,378,,4.88,,488,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_갈릭치즈토스트,빵 및 과자류,100g,407,,7.14,,414,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_구운햄치즈 토스트,빵 및 과자류,100g,304,,11.00,,506,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_마늘토스트,빵 및 과자류,100g,306,,7.27,,448,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_몬테크리스토 (H),빵 및 과자류,100g,262,,8.00,,394,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_스위트토스트,빵 및 과자류,100g,419,,6.45,,355,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_오믈렛토스트,빵 및 과자류,100g,269,,11.54,,608,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_인절미 카야 토스트,빵 및 과자류,100g,261,,5.43,,374,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_인절미 토스트,빵 및 과자류,100g,342,,8.99,,407,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_자색 고구마 카야 토스트,빵 및 과자류,100g,256,,5.83,,484,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_촉촉한 허니버터토스트,빵 및 과자류,100g,380,,4.57,,286,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_촉촉한햄치즈 토스트,빵 및 과자류,100g,253,,10.00,,441,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_카라멜버터토스트,빵 및 과자류,100g,332,,6.84,,226,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_카야 토스트,빵 및 과자류,100g,315,,7.55,,289,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_통버터 프렌치토스트,빵 및 과자류,100g,289,,6.32,,274,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_페퍼로니 피자 토스트,빵 및 과자류,100g,282,,12.35,,471,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_햄 치즈 프렌치 토스트,빵 및 과자류,100g,312,28.13,10.00,17.50,381,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_허니버터토스트,빵 및 과자류,100g,335,,6.00,,330,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_누텔라 바나나 토스트,빵 및 과자류,100g,208,36.30,3.42,5.48,258,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_전여친 생각 토스트,빵 및 과자류,100g,379,58.82,5.88,13.24,385,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_카야 버터치즈 반반 토스트,빵 및 과자류,100g,285,43.16,6.32,11.58,449,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_카야버터 토스트,빵 및 과자류,100g,321,43.16,5.26,13.68,398,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_카야치즈 토스트,빵 및 과자류,100g,249,43.16,7.37,8.42,501,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_뚜레1번가햄치즈토스트,빵 및 과자류,100g,186,,8.57,,457,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_뚜쥬맘계란토스트,빵 및 과자류,100g,232,,9.49,,453,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_새우오믈렛토스트,빵 및 과자류,100g,251,,8.67,,480,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_쏙쏙토스트,빵 및 과자류,100g,323,,9.30,,448,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_피자토스트,빵 및 과자류,100g,259,,12.73,,636,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_더블 버터 카야 토스트,빵 및 과자류,100g,335,,4.74,,371,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_인절미 토스트,빵 및 과자류,100g,301,,5.88,,184,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_콘치즈 프렌치토스트,빵 및 과자류,100g,241,,8.82,,676,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_트리플 치즈 카야 토스트,빵 및 과자류,100g,273,,5.43,,503,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_햄치즈 스크램블 토스트,빵 및 과자류,100g,290,,11.00,,690,외식(프랜차이즈 등 업체 제공 영양정보)
토스트_햄치즈 토스트,빵 및 과자류,100g,283,,12.86,,419,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_베이컨 치즈 팟파이,빵 및 과자류,100g,269,,9.38,,488,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_주상절리 파이,빵 및 과자류,100g,532,,7.37,,505,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_치킨 팟파이,빵 및 과자류,100g,253,,15.88,,429,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_플레인 에그디쉬,빵 및 과자류,100g,325,,6.86,,272,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_하트 파이,빵 및 과자류,100g,485,,9.38,,522,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_딸기잼롤파이,빵 및 과자류,100g,400,,4.50,,350,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_로스팅호두로더고소한호두파이 (조각),빵 및 과자류,100g,402,44.64,7.14,23.21,152,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_리프파이,빵 및 과자류,100g,493,,6.67,,267,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_미니고구마파이,빵 및 과자류,100g,374,,7.89,,226,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_미니딸기필링파이,빵 및 과자류,100g,397,,3.03,,318,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_미니애플파이,빵 및 과자류,100g,346,,5.41,,259,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_미니크림치즈파이,빵 및 과자류,100g,400,,6.06,,348,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_뽀미파이 애플파이,빵 및 과자류,100g,347,,6.76,,326,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_생크림 가득 파이,빵 및 과자류,100g,358,33.90,5.40,22.30,156,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_스노우 화이트 애플 파이,빵 및 과자류,100g,290,,3.33,,150,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_스틱파이,빵 및 과자류,100g,476,,6.32,,252,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_연유슈크림애플파이,빵 및 과자류,100g,332,,4.00,,333,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_크림치즈롤파이,빵 및 과자류,100g,412,,5.29,,471,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_클래식애플파이,빵 및 과자류,100g,313,34.67,4.00,18.67,280,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_파이만주,빵 및 과자류,100g,351,,6.60,,149,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_파이콘,빵 및 과자류,100g,514,,6.80,,351,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_호두파이,빵 및 과자류,100g,380,,6.00,,80,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_겹겹이딸기파이,빵 및 과자류,100g,394,,6.38,,298,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_다크초콜릿롤,빵 및 과자류,100g,417,41.90,7.30,24.50,215,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_달콤한딸기롤파이,빵 및 과자류,100g,371,51.61,3.23,16.13,355,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_달콤한딸기롤파이 (2개입),빵 및 과자류,100g,363,50.00,3.23,16.13,355,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_달콤한딸기롤파이 (5개입),빵 및 과자류,100g,365,50.97,3.23,16.13,361,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_링고파이,빵 및 과자류,100g,345,,3.00,,200,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_빨미까레 녹차,빵 및 과자류,100g,438,48.75,6.25,22.50,203,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_빨미까레 초코,빵 및 과자류,100g,455,48.75,6.25,25.00,198,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_빨미까레 쿠앤크,빵 및 과자류,100g,403,45.00,6.25,21.25,200,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_쌀콩만주,빵 및 과자류,100g,328,63.30,8.50,4.50,172,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_알밤파이만주,빵 및 과자류,100g,400,,6.67,,233,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_진한크림치즈롤파이,빵 및 과자류,100g,375,34.38,6.25,25.00,406,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_THE호두파이(조각),빵 및 과자류,100g,460,,7.94,,286,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_로스팅호두로더고소한호두파이(조각),빵 및 과자류,100g,400,,5.00,,133,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_사르르리본파이,빵 및 과자류,100g,526,,6.32,,295,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_사르르미니리본파이(3개입),빵 및 과자류,100g,521,,6.25,,292,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_사르르미니리본파이(6개입),빵 및 과자류,100g,526,,6.32,,295,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_새콤달콤유자파이,빵 및 과자류,100g,364,,5.61,,327,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_블루베리 에그디쉬,빵 및 과자류,100g,264,,5.54,,215,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_약과 버터바,빵 및 과자류,100g,432,,4.05,,194,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_이탈리안 에그디쉬,빵 및 과자류,100g,296,,7.91,,353,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_황금파이만주,빵 및 과자류,100g,397,,6.90,,259,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_카라멜애플파이,빵 및 과자류,100g,346,,4.26,,245,외식(프랜차이즈 등 업체 제공 영양정보)
파이/만주_커스타드애플파이,빵 및 과자류,100g,341,,3.53,,271,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_단팥빵,빵 및 과자류,100g,308,,10.53,,211,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_단팥빵,빵 및 과자류,100g,274,,7.80,,131,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_단팥앙금롤브레드,빵 및 과자류,100g,330,,8.93,,250,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_미강빵,빵 및 과자류,100g,307,,6.67,,157,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_생크림 듬뿍이 단팥빵,빵 및 과자류,100g,280,,7.37,,98,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_생크림단팥빵,빵 및 과자류,100g,271,,6.20,,209,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_완전소중한단팥빵,빵 및 과자류,100g,307,,7.41,,238,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_우리쌀앙버터브레드 (H),빵 및 과자류,100g,252,,3.45,,127,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_쫀득한 단팥빵,빵 및 과자류,100g,294,,6.90,,181,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_호두가오독오독씹히는단팥빵,빵 및 과자류,100g,407,,10.28,,280,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_호두과자,빵 및 과자류,100g,258,43.33,15.00,3.33,123,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_호두과자,빵 및 과자류,100g,290,,7.50,,152,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_호두단팥빵,빵 및 과자류,100g,261,45.22,6.96,6.09,174,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_호밀찰보리빵,빵 및 과자류,100g,332,,5.50,,292,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_단팥소보로빵,빵 및 과자류,100g,386,,10.00,,245,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_소보루단팥빵,빵 및 과자류,100g,356,50.00,7.10,17.90,155,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_추억의 팥절미빵,빵 및 과자류,100g,273,40.40,9.09,12.12,162,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_팥 페스츄리 붕어빵,빵 및 과자류,100g,262,39.23,5.38,,238,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_호두통팥,빵 및 과자류,100g,362,42.30,9.70,17.10,193,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_단팥빵,빵 및 과자류,100g,250,,7.27,,173,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_단팥빵,빵 및 과자류,100g,314,,9.30,,267,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_딸기버터호두과자(20개입),빵 및 과자류,100g,334,46.00,6.00,10.00,185,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_딸기버터호두과자(8개입),빵 및 과자류,100g,334,46.00,6.00,10.00,185,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_레몬버터딸기버터호두과자(20개입),빵 및 과자류,100g,340,45.00,6.00,13.00,175,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_레몬버터딸기버터호두과자(8개입),빵 및 과자류,100g,340,45.00,6.00,13.00,175,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_레몬버터호두과자(20개입),빵 및 과자류,100g,346,44.00,6.00,16.00,165,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_레몬버터호두과자(8개입),빵 및 과자류,100g,346,44.00,6.00,16.00,165,외식(프랜차이즈 등 업체 제공 영양정보)
팥빵_앙버터딸기버터호두과자(20개입),빵 및 과자류,100g,347,45.00,6.50,13.00,165,외식(프랜차이즈 등 업체 제공 영양정보)
